Team1,Team2,ML1,ML2,Winner
Detroit,Cleveland,350,-420,2
Brooklyn,OklahomaCity,400,-500,2
GoldenState,Boston,-400,330,1
Portland,NewOrleans,-110,-110,2
Memphis,Dallas,-175,155,1
Toronto,Denver,-160,140,1
LAClippers,Sacramento,-370,310,1
SanAntonio,LALakers,-360,300,1
Utah,Houston,240,-280,2
Boston,Detroit,110,-130,1
Dallas,Orlando,300,-360,2
Miami,Washington,175,-200,1
Charlotte,NewOrleans,-135,115,2
Phoenix,Philadelphia,-135,115,2
Minnesota,Memphis,-115,-105,2
GoldenState,Milwaukee,-420,350,1
Chicago,LAClippers,320,-380,2
Atlanta,NewYork,-185,165,2
Portland,Brooklyn,-180,160,1
Indiana,OklahomaCity,400,-500,1
Utah,Denver,155,-175,2
Toronto,Sacramento,-165,145,2
Chicago,LALakers,125,-145,1
Phoenix,Washington,270,-330,2
GoldenState,Indiana,-2000,1000,1
Miami,Philadelphia,-175,155,2
Memphis,Charlotte,180,-210,1
Houston,Detroit,-140,120,1
Orlando,Milwaukee,240,-280,2
Boston,Minnesota,-130,110,1
Dallas,SanAntonio,1000,-2000,2
Toronto,LAClippers,375,-450,2
NewOrleans,Atlanta,305,-375,1
Portland,NewYork,-105,-115,2
Chicago,Denver,-120,100,2
OklahomaCity,LALakers,-160,140,2
Phoenix,Orlando,150,-170,1
Portland,Cleveland,650,-1000,2
Atlanta,Indiana,-120,100,1
SanAntonio,Charlotte,-230,195,1
Memphis,Philadelphia,-220,190,1
Miami,Detroit,170,-190,2
Boston,Brooklyn,-320,265,1
Toronto,Houston,155,-175,1
LAClippers,Dallas,-600,450,1
Denver,Utah,300,-360,2
Minnesota,NewOrleans,-145,125,2
OklahomaCity,Sacramento,105,-125,2
LALakers,GoldenState,2000,-9900,2
SanAntonio,Boston,-165,145,1
Washington,Orlando,-130,110,1
Charlotte,NewYork,-125,105,2
Dallas,Cleveland,800,-1400,2
LAClippers,Detroit,-260,220,2
Chicago,Philadelphia,-500,400,1
Atlanta,Utah,140,-160,2
Toronto,Milwaukee,-155,135,1
Miami,Memphis,180,-210,1
Brooklyn,Indiana,190,-220,2
Minnesota,Phoenix,-130,110,1
OklahomaCity,Denver,-150,130,1
NewOrleans,Portland,145,-165,2
Houston,Sacramento,-165,145,1
GoldenState,LALakers,-1800,950,1
NewYork,Charlotte,200,-240,2
SanAntonio,Washington,-260,220,1
Detroit,OklahomaCity,160,-180,2
Memphis,Miami,-120,100,1
Minnesota,GoldenState,800,-1400,2
Cleveland,Philadelphia,-900,600,1
Denver,Phoenix,120,-140,1
Sacramento,Brooklyn,-205,175,1
Milwaukee,Orlando,115,-135,1
LAClippers,Indiana,-800,575,2
NewOrleans,Dallas,-205,175,2
Houston,Portland,-115,-105,1
Atlanta,LALakers,-245,205,2
Sacramento,Washington,175,-205,2
Philadelphia,Toronto,1000,-2000,2
OklahomaCity,NewYork,-115,-105,1
Boston,Miami,-180,160,1
Utah,Minnesota,-150,130,1
Charlotte,Memphis,-130,110,1
Atlanta,GoldenState,950,-1650,2
Detroit,Charlotte,145,-165,1
LAClippers,Brooklyn,-750,525,2
Cleveland,Milwaukee,-330,270,2
LALakers,NewOrleans,200,-240,2
Orlando,SanAntonio,800,-1400,1
Houston,Utah,-120,100,2
Memphis,Toronto,850,-1450,2
Detroit,Boston,215,-265,1
Washington,OklahomaCity,170,-200,2
NewYork,Minnesota,155,-175,1
LALakers,Chicago,465,-615,1
SanAntonio,Dallas,-425,345,1
Miami,Denver,220,-270,1
Atlanta,Phoenix,-165,145,2
Indiana,Portland,250,-315,2
Dallas,Charlotte,650,-1000,2
Milwaukee,Brooklyn,-210,180,1
LAClippers,Cleveland,150,-170,1
Orlando,Memphis,-170,150,2
Miami,Utah,230,-270,1
Houston,GoldenState,525,-750,1
Orlando,Philadelphia,-110,-110,1
LALakers,Toronto,400,-500,2
Sacramento,Boston,210,-250,2
Minnesota,NewYork,-145,125,2
Detroit,Atlanta,105,-125,1
Cleveland,Chicago,-120,100,2
LAClippers,NewOrleans,-180,160,1
Washington,SanAntonio,375,-450,2
Houston,Denver,140,-160,1
Brooklyn,Milwaukee,425,-550,2
Minnesota,Charlotte,210,-250,1
Atlanta,Toronto,330,-400,2
Boston,Philadelphia,-550,425,1
LALakers,Memphis,125,-145,2
Chicago,Dallas,-165,145,2
Denver,Utah,260,-310,2
Miami,Portland,205,-245,2
Phoenix,GoldenState,1600,-6000,2
Orlando,Detroit,260,-325,1
NewOrleans,OklahomaCity,210,-260,2
Sacramento,NewYork,-105,-115,2
Indiana,LAClippers,550,-750,1
Denver,Philadelphia,-165,145,1
OklahomaCity,Atlanta,155,-175,1
Cleveland,Toronto,105,-125,1
Washington,Brooklyn,-275,235,1
Memphis,NewOrleans,155,-175,1
Portland,Chicago,155,-175,1
SanAntonio,Milwaukee,-240,200,1
Boston,Houston,190,-220,2
Charlotte,Dallas,-165,145,1
Utah,LALakers,-180,160,1
Indiana,GoldenState,1100,-2100,2
Orlando,Washington,130,-150,1
Chicago,Detroit,195,-230,2
NewYork,Miami,100,-120,1
Philadelphia,Memphis,250,-300,2
SanAntonio,Minnesota,-180,160,1
Phoenix,Utah,250,-300,2
Detroit,Charlotte,190,-220,2
Boston,Orlando,-115,-105,1
Denver,Brooklyn,-185,165,2
Miami,Atlanta,375,-450,2
LALakers,Houston,1000,-2000,2
Cleveland,NewYork,-380,320,1
Portland,Milwaukee,105,-125,2
Sacramento,Dallas,-150,130,1
Indiana,Phoenix,-170,150,1
GoldenState,LAClippers,-165,145,1
Denver,Washington,195,-230,2
Minnesota,Toronto,400,-500,2
Portland,Memphis,-130,110,2
Philadelphia,NewOrleans,205,-245,1
GoldenState,Utah,-800,550,1
SanAntonio,Chicago,-160,140,2
Orlando,Charlotte,240,-280,2
Miami,Cleveland,600,-900,2
Toronto,Boston,120,-140,1
Atlanta,Milwaukee,135,-155,1
Detroit,Minnesota,-155,135,1
Houston,OklahomaCity,-120,100,1
Indiana,Dallas,-165,145,2
NewYork,Sacramento,190,-220,1
Phoenix,LALakers,105,-125,1
Denver,Orlando,-125,105,1
Milwaukee,Washington,160,-180,2
Portland,Indiana,-115,-105,2
Charlotte,Cleveland,285,-350,2
Dallas,Houston,700,-1000,2
Miami,Chicago,380,-475,2
GoldenState,Memphis,-1300,800,2
Brooklyn,SanAntonio,1050,-2650,2
Sacramento,Utah,210,-260,2
NewOrleans,LAClippers,1000,-2000,2
Philadelphia,Detroit,700,-1000,1
Boston,OklahomaCity,135,-155,2
GoldenState,Minnesota,-520,400,1
NewOrleans,Phoenix,105,-125,1
NewYork,LALakers,-140,120,1
Charlotte,Indiana,-110,-110,2
Milwaukee,Toronto,300,-360,2
Washington,Miami,-115,-105,2
Brooklyn,Houston,750,-1200,2
Denver,Dallas,-155,135,2
LALakers,Sacramento,330,-400,2
Portland,LAClippers,425,-550,2
Memphis,Cleveland,900,-1600,2
Orlando,Atlanta,320,-380,1
Minnesota,Chicago,190,-220,1
GoldenState,NewOrleans,-800,550,1
NewYork,Phoenix,-135,115,2
OklahomaCity,Portland,125,-145,2
Indiana,Miami,-115,-105,2
Toronto,Philadelphia,-380,320,1
LAClippers,Orlando,-420,350,1
Charlotte,Washington,-130,110,2
LALakers,Brooklyn,-115,-105,2
Cleveland,Memphis,260,-310,2
Sacramento,Houston,800,-1400,2
Detroit,Dallas,-220,190,1
OklahomaCity,Utah,280,-340,2
Boston,SanAntonio,220,-260,2
Indiana,NewOrleans,139,-159,2
Chicago,Milwaukee,-118,-102,2
SanAntonio,Phoenix,-355,290,1
Portland,Denver,125,-145,2
NewYork,GoldenState,1700,-5500,2
Brooklyn,Orlando,240,-280,2
Detroit,Washington,-120,100,2
Atlanta,Toronto,245,-290,1
Charlotte,Boston,210,-250,2
Milwaukee,Chicago,190,-220,1
Sacramento,Memphis,180,-210,1
NewOrleans,Houston,600,-900,2
LALakers,Philadelphia,100,-120,1
LAClippers,Miami,-400,330,1
Dallas,Utah,550,-800,2
Phoenix,OklahomaCity,240,-280,2
Indiana,Detroit,170,-190,1
LALakers,Cleveland,1400,-4000,2
Charlotte,Atlanta,120,-140,1
Houston,Minnesota,-140,120,1
NewYork,Denver,150,-170,2
Portland,GoldenState,900,-1600,2
LAClippers,Washington,-215,185,2
Brooklyn,Philadelphia,100,-120,2
Boston,Miami,-170,150,1
Toronto,Orlando,-230,190,1
Utah,Memphis,-115,-105,1
Sacramento,Dallas,-115,-105,2
NewOrleans,SanAntonio,600,-900,2
Washington,Indiana,175,-205,2
Atlanta,OklahomaCity,135,-155,1
Detroit,Chicago,115,-135,2
Phoenix,Minnesota,210,-260,2
Dallas,Denver,300,-365,2
NewOrleans,Philadelphia,-155,135,1
LALakers,Charlotte,375,-450,2
Brooklyn,Toronto,1100,-2500,2
Orlando,Miami,145,-165,1
Indiana,NewYork,170,-190,2
Boston,Memphis,-130,110,1
Cleveland,Milwaukee,-160,140,1
SanAntonio,Houston,-110,-110,1
Portland,Sacramento,-115,-105,2
Denver,LAClippers,300,-360,2
Utah,GoldenState,750,-1200,2
Milwaukee,Cleveland,255,-320,2
Memphis,Detroit,215,-265,1
Minnesota,Atlanta,155,-175,1
Washington,Chicago,160,-180,1
OklahomaCity,NewOrleans,-125,105,1
Houston,Phoenix,-245,205,1
Sacramento,Utah,295,-360,1
Dallas,Portland,205,-245,1
Orlando,NewYork,160,-180,2
LALakers,Miami,210,-250,2
GoldenState,Brooklyn,-1600,900,1
Boston,Indiana,-120,100,1
SanAntonio,LAClippers,-155,135,2
Chicago,Charlotte,160,-180,2
LALakers,Orlando,180,-210,2
GoldenState,Detroit,-345,280,1
Brooklyn,Cleveland,1400,-4000,2
OklahomaCity,Boston,190,-230,1
Washington,Milwaukee,130,-150,2
Miami,NewOrleans,165,-185,2
Houston,Memphis,-160,140,2
Sacramento,Minnesota,175,-205,1
Philadelphia,Phoenix,210,-260,2
Atlanta,Denver,210,-260,1
Toronto,Utah,-115,-105,1
SanAntonio,Portland,-125,105,1
Dallas,LAClippers,150,-170,1
Boston,NewYork,-116,-104,1
GoldenState,Cleveland,-155,135,2
Chicago,SanAntonio,370,-465,2
Minnesota,OklahomaCity,155,-175,2
LAClippers,LALakers,-140,120,2
Memphis,Orlando,-155,135,2
Milwaukee,Washington,140,-160,2
Cleveland,Detroit,190,-220,2
Charlotte,Brooklyn,-275,235,2
Dallas,NewOrleans,165,-185,2
Phoenix,Houston,700,-1100,2
Atlanta,Minnesota,-135,115,2
Indiana,Chicago,110,-130,2
Toronto,Portland,-350,290,1
Philadelphia,Sacramento,305,-365,2
Denver,LAClippers,-185,165,1
Memphis,Boston,280,-345,2
OklahomaCity,Miami,-180,160,1
Houston,Dallas,-185,165,1
Utah,LALakers,-215,185,1
Indiana,Washington,160,-180,2
Charlotte,Orlando,-185,165,1
Milwaukee,Detroit,135,-155,1
NewYork,Atlanta,185,-215,2
Brooklyn,Chicago,425,-550,2
LAClippers,NewOrleans,-120,100,2
Phoenix,SanAntonio,600,-900,2
Minnesota,Denver,150,-170,2
Sacramento,Portland,110,-130,2
Toronto,GoldenState,425,-550,2
Miami,Charlotte,210,-250,2
Boston,Cleveland,210,-250,2
OklahomaCity,Memphis,100,-120,2
Philadelphia,Utah,1000,-2000,2
Toronto,Phoenix,-420,350,2
Dallas,LALakers,155,-175,1
Chicago,Indiana,150,-170,2
Brooklyn,Washington,270,-330,2
Miami,Boston,400,-500,2
Detroit,Atlanta,125,-145,2
Milwaukee,Minnesota,100,-120,2
NewYork,NewOrleans,140,-160,2
LAClippers,Houston,475,-650,2
Portland,SanAntonio,400,-500,2
Philadelphia,Denver,450,-600,1
Dallas,GoldenState,1800,-8000,2
Memphis,Sacramento,-125,105,1
Cleveland,Charlotte,-120,100,1
Milwaukee,Chicago,130,-150,1
NewYork,Houston,800,-1400,2
Phoenix,Utah,550,-800,2
LAClippers,OklahomaCity,375,-450,2
Orlando,Indiana,200,-240,2
